,HINDEX_L1,Hour,CATEGORY
3514,4.0,19,unknown
3515,5.0,12,others
3516,5.0,16,"setting fires in nature and in landfills, burning grasses"
3517,6.0,12,"setting fires in nature and in landfills, burning grasses"
3518,4.0,16,others
3519,3.0,20,others
3520,4.0,5,others
3521,6.0,12,others
3522,6.0,13,cigarette butt
3523,4.0,5,"setting fires in nature and in landfills, burning grasses"
3524,4.0,15,others
3525,3.0,23,unknown
3526,2.0,20,unknown
3527,6.0,13,unknown
3528,5.0,12,unknown
3529,2.0,9,unknown
3530,6.0,15,unknown
3531,6.0,17,unknown
3532,5.0,19,unknown
3533,6.0,15,unknown
3534,3.0,16,unknown
3535,5.0,14,unknown
3536,4.0,11,unknown
3537,5.0,17,unknown
3538,5.0,17,unknown
3539,5.0,9,unknown
3540,5.0,15,unknown
3541,2.0,13,unknown
3542,2.0,9,others
3543,3.0,17,unknown
3544,3.0,20,others
3545,5.0,0,others
3546,5.0,15,others
3547,3.0,13,unknown
3548,2.0,13,unknown
3549,5.0,13,unknown
3550,5.0,15,unknown
3551,4.0,12,unknown
3552,4.0,12,unknown
3553,2.0,13,unknown
3554,3.0,10,"setting fires in nature and in landfills, burning grasses"
3555,2.0,9,unknown
3556,6.0,13,cigarette butt
3557,6.0,13,cigarette butt
3558,5.0,15,arson
3559,4.0,17,"setting fires in nature and in landfills, burning grasses"
3560,2.0,8,"setting fires in nature and in landfills, burning grasses"
3561,3.0,16,"setting fires in nature and in landfills, burning grasses"
3562,5.0,12,cigarette butt
3563,6.0,13,unknown
3564,4.0,13,cigarette butt
3565,2.0,10,"setting fires in nature and in landfills, burning grasses"
3566,6.0,17,unknown
3567,5.0,17,cigarette butt
3568,5.0,18,unknown
3569,5.0,16,unknown
3570,3.0,9,unknown
3571,2.0,9,cigarette butt
3572,5.0,16,cigarette butt
3573,6.0,12,cigarette butt
3574,6.0,14,unknown
3575,4.0,15,others
3576,5.0,13,"setting fires in nature and in landfills, burning grasses"
3577,2.0,3,unknown
3578,5.0,19,"setting fires in nature and in landfills, burning grasses"
3579,2.0,9,unknown
3580,2.0,11,others
3581,6.0,16,match or lighter
3582,4.0,14,arson
3583,2.0,11,unknown
3584,2.0,16,"setting fires in nature and in landfills, burning grasses"
3585,4.0,13,unknown
3586,6.0,12,unknown
3587,6.0,12,"setting fires in nature and in landfills, burning grasses"
3588,5.0,15,unknown
3589,5.0,19,unknown
3590,6.0,17,unknown
3591,6.0,12,cigarette butt
3592,6.0,15,cigarette butt
3593,3.0,20,others
3594,5.0,11,unknown
3595,6.0,12,others
3596,5.0,15,match or lighter
3597,6.0,14,others
3598,6.0,14,unknown
3599,6.0,16,unknown
3600,6.0,18,cigarette butt
3601,6.0,13,unknown
3602,5.0,16,unknown
3603,5.0,16,"setting fires in nature and in landfills, burning grasses"
3604,4.0,13,unknown
3605,6.0,13,unknown
3606,6.0,16,unknown
3607,6.0,13,unknown
3608,6.0,22,unknown
3609,3.0,15,others
3610,4.0,16,unknown
3611,5.0,12,unknown
3612,5.0,18,unknown
3613,6.0,13,others
3614,6.0,12,others
3615,5.0,16,unknown
3616,6.0,13,unknown
3617,6.0,20,unknown
3618,3.0,18,unknown
3619,6.0,17,unknown
3620,6.0,19,unknown
3621,3.0,20,unknown
3622,5.0,10,unknown
3623,6.0,17,others
3624,6.0,14,unknown
3625,6.0,16,cigarette butt
3626,4.0,7,"setting fires in nature and in landfills, burning grasses"
3627,6.0,16,"setting fires in nature and in landfills, burning grasses"
3628,3.0,9,"setting fires in nature and in landfills, burning grasses"
3629,5.0,13,"setting fires in nature and in landfills, burning grasses"
3630,3.0,13,unknown
3631,6.0,14,cigarette butt
3632,5.0,18,unknown
3633,5.0,16,match or lighter
3634,4.0,16,unknown
3635,6.0,15,unknown
3636,5.0,12,unknown
3637,4.0,20,unknown
3638,4.0,16,unknown
3639,6.0,13,unknown
3640,6.0,19,unknown
3641,4.0,15,"setting fires in nature and in landfills, burning grasses"
3642,3.0,21,unknown
3643,4.0,18,unknown
3644,4.0,16,unknown
3645,3.0,10,"setting fires in nature and in landfills, burning grasses"
3646,5.0,14,unknown
3647,6.0,17,unknown
3648,5.0,23,cigarette butt
3649,6.0,16,unknown
3650,5.0,12,cigarette butt
3651,3.0,7,others
3652,2.0,14,unknown
3653,5.0,13,match or lighter
3654,4.0,5,unknown
3655,3.0,1,cigarette butt
3656,5.0,10,unknown
3657,3.0,9,cigarette butt
3658,6.0,20,arson
3659,6.0,19,"setting fires in nature and in landfills, burning grasses"
3660,6.0,14,unknown
3661,6.0,16,unknown
3662,6.0,14,unknown
3663,6.0,20,unknown
3664,5.0,20,unknown
3665,6.0,19,unknown
3666,6.0,14,unknown
3667,3.0,0,unknown
3668,4.0,15,unknown
3669,4.0,15,others
3670,5.0,10,unknown
3671,6.0,16,cigarette butt
3672,4.0,11,unknown
3673,6.0,14,unknown
3674,6.0,21,unknown
3675,5.0,21,arson
3676,5.0,20,arson
3677,3.0,9,unknown
3678,6.0,12,unknown
3679,5.0,18,unknown
3680,6.0,14,unknown
3681,2.0,5,"setting fires in nature and in landfills, burning grasses"
3682,4.0,7,unknown
3683,5.0,20,unknown
3684,3.0,13,unknown
3685,2.0,19,unknown
3686,6.0,16,match or lighter
3687,4.0,19,"setting fires in nature and in landfills, burning grasses"
3688,3.0,20,unknown
3689,6.0,13,unknown
3690,5.0,18,lightning
3691,4.0,14,match or lighter
3692,4.0,18,match or lighter
3693,6.0,15,unknown
3694,4.0,11,unknown
3695,3.0,10,unknown
3696,5.0,19,unknown
3697,3.0,14,unknown
3698,2.0,18,unknown
3699,4.0,11,unknown
3700,5.0,15,unknown
3701,3.0,17,unknown
3702,3.0,9,unknown
3703,2.0,15,unknown
3704,5.0,20,arson
3705,4.0,12,match or lighter
3706,4.0,19,others
3707,5.0,12,match or lighter
3708,6.0,21,unknown
3709,3.0,16,unknown
3710,6.0,15,unknown
3711,6.0,17,"setting fires in nature and in landfills, burning grasses"
3712,6.0,21,"setting fires in nature and in landfills, burning grasses"
3713,3.0,5,unknown
3714,4.0,1,match or lighter
3715,6.0,16,cigarette butt
3716,4.0,10,unknown
3717,6.0,12,unknown
3718,3.0,16,unknown
3719,5.0,19,unknown
3720,4.0,20,unknown
3721,5.0,18,unknown
3722,6.0,17,unknown
3723,3.0,13,unknown
3724,3.0,0,unknown
3725,4.0,13,unknown
3726,5.0,16,unknown
3727,4.0,12,match or lighter
3728,6.0,19,others
3729,4.0,5,unknown
3730,3.0,10,match or lighter
3731,5.0,15,match or lighter
3732,6.0,17,unknown
3733,5.0,14,match or lighter
3734,4.0,17,unknown
3735,5.0,16,"setting fires in nature and in landfills, burning grasses"
3736,6.0,16,unknown
3737,2.0,22,"setting fires in nature and in landfills, burning grasses"
3738,5.0,17,unknown
3739,5.0,16,unknown
3740,6.0,13,unknown
3741,5.0,1,unknown
3742,4.0,14,"setting fires in nature and in landfills, burning grasses"
3743,6.0,13,others
3744,3.0,13,"setting fires in nature and in landfills, burning grasses"
3745,6.0,15,"setting fires in nature and in landfills, burning grasses"
3746,3.0,17,unknown
3747,3.0,15,unknown
3748,2.0,16,"setting fires in nature and in landfills, burning grasses"
3749,3.0,15,unknown
3750,2.0,23,arson
3751,3.0,11,unknown
3752,3.0,17,unknown
3753,3.0,14,unknown
3754,4.0,7,unknown
3755,5.0,14,unknown
3756,5.0,22,unknown
3757,3.0,20,unknown
3758,6.0,16,unknown
3759,2.0,10,unknown
3760,5.0,12,unknown
3761,4.0,22,unknown
3762,3.0,20,"setting fires in nature and in landfills, burning grasses"
3763,2.0,18,match or lighter
3764,2.0,0,match or lighter
3765,2.0,0,unknown
3766,4.0,16,match or lighter
3767,3.0,11,match or lighter
3768,3.0,11,others
3769,5.0,12,unknown
3770,3.0,1,unknown
3771,6.0,23,unknown
3772,5.0,15,"setting fires in nature and in landfills, burning grasses"
3773,3.0,11,unknown
3774,3.0,14,unknown
3775,6.0,15,unknown
3776,4.0,19,unknown
3777,5.0,15,unknown
3778,6.0,15,unknown
3779,5.0,15,unknown
3780,4.0,16,unknown
3781,4.0,22,others
3782,3.0,15,unknown
3783,5.0,17,unknown
3784,5.0,13,unknown
3785,5.0,14,unknown
3786,5.0,16,unknown
3787,5.0,17,unknown
3788,2.0,11,unknown
3789,3.0,20,unknown
3790,3.0,11,unknown
3791,5.0,11,unknown
3792,4.0,10,unknown
3793,5.0,12,unknown
3794,4.0,10,unknown
3795,4.0,16,unknown
3796,4.0,15,unknown
3797,5.0,17,unknown
3798,6.0,16,unknown
3799,3.0,15,unknown
3800,3.0,18,others
3801,4.0,13,unknown
3802,6.0,16,unknown
3803,5.0,15,unknown
3804,6.0,15,unknown
3805,2.0,9,unknown
3806,3.0,15,unknown
3807,3.0,10,unknown
3808,6.0,13,unknown
3809,6.0,13,unknown
3810,5.0,14,unknown
3811,5.0,15,unknown
3812,6.0,16,unknown
3813,4.0,15,unknown
3814,3.0,16,unknown
3815,5.0,18,others
3816,2.0,18,unknown
3817,3.0,16,"setting fires in nature and in landfills, burning grasses"
3818,5.0,13,unknown
3819,6.0,14,unknown
3820,6.0,13,unknown
3821,4.0,5,unknown
3822,4.0,5,unknown
3823,3.0,11,others
3824,4.0,23,others
3825,4.0,15,unknown
3826,6.0,16,others
3827,3.0,15,others
3828,6.0,20,"setting fires in nature and in landfills, burning grasses"
3829,6.0,16,unknown
3830,3.0,10,unknown
3831,3.0,16,unknown
3832,3.0,16,unknown
3833,2.0,13,cigarette butt
3834,4.0,10,"setting fires in nature and in landfills, burning grasses"
3835,4.0,10,match or lighter
3836,5.0,15,others
3837,4.0,18,unknown
3838,6.0,16,cigarette butt
3839,6.0,16,others
3840,3.0,9,cigarette butt
3841,6.0,17,cigarette butt
3842,4.0,15,unknown
3843,2.0,11,cigarette butt
3844,3.0,13,unknown
3845,2.0,9,unknown
3846,3.0,16,cigarette butt
3847,6.0,16,cigarette butt
3848,2.0,18,cigarette butt
3849,2.0,18,others
3850,4.0,7,others
3851,6.0,15,cigarette butt
3852,6.0,13,cigarette butt
3853,3.0,13,unknown
3854,6.0,17,cigarette butt
3855,4.0,18,unknown
3856,4.0,20,cigarette butt
3857,4.0,13,cigarette butt
3858,4.0,19,cigarette butt
3859,5.0,20,unknown
3860,5.0,0,unknown
3861,6.0,14,cigarette butt
3862,3.0,22,cigarette butt
3863,5.0,11,cigarette butt
3864,5.0,15,match or lighter
3865,3.0,23,cigarette butt
3866,4.0,12,unknown
3867,6.0,17,unknown
3868,4.0,15,unknown
3869,2.0,18,"setting fires in nature and in landfills, burning grasses"
3870,6.0,15,cigarette butt
3871,4.0,14,cigarette butt
3872,4.0,17,unknown
3873,3.0,6,arson
3874,3.0,16,unknown
3875,3.0,10,unknown
3876,5.0,16,unknown
3877,6.0,13,match or lighter
3878,3.0,9,unknown
3879,3.0,18,match or lighter
3880,5.0,18,others
3881,5.0,20,unknown
3882,5.0,18,unknown
3883,4.0,10,unknown
3884,2.0,10,match or lighter
3885,4.0,15,match or lighter
3886,6.0,14,unknown
3887,5.0,22,unknown
3888,5.0,16,unknown
3889,6.0,17,unknown
3890,4.0,15,unknown
3891,3.0,11,"setting fires in nature and in landfills, burning grasses"
3892,6.0,12,unknown
3893,6.0,15,unknown
3894,2.0,13,unknown
3895,5.0,13,unknown
3896,5.0,13,unknown
3897,5.0,13,"setting fires in nature and in landfills, burning grasses"
3898,4.0,13,unknown
3899,5.0,16,"setting fires in nature and in landfills, burning grasses"
3900,5.0,17,"setting fires in nature and in landfills, burning grasses"
3901,5.0,15,unknown
3902,3.0,23,unknown
3903,3.0,10,unknown
3904,2.0,13,unknown
3905,4.0,7,others
3906,3.0,15,unknown
3907,6.0,13,others
3908,4.0,18,unknown
3909,5.0,12,others
3910,5.0,21,unknown
3911,5.0,5,arson
3912,3.0,11,unknown
3913,2.0,15,"setting fires in nature and in landfills, burning grasses"
3914,5.0,15,unknown
3915,5.0,19,unknown
3916,2.0,14,match or lighter
3917,3.0,11,unknown
3918,4.0,8,unknown
3919,5.0,14,unknown
3920,6.0,17,unknown
3921,3.0,17,unknown
3922,3.0,22,unknown
3923,3.0,8,"setting fires in nature and in landfills, burning grasses"
3924,6.0,18,unknown
3925,6.0,17,unknown
3926,2.0,10,"setting fires in nature and in landfills, burning grasses"
3927,5.0,11,unknown
3928,6.0,21,cigarette butt
3929,5.0,20,unknown
3930,4.0,20,unknown
3931,3.0,10,unknown
3932,3.0,19,unknown
3933,6.0,12,match or lighter
3934,3.0,21,unknown
3935,3.0,16,unknown
3936,2.0,23,unknown
3937,3.0,13,"setting fires in nature and in landfills, burning grasses"
3938,3.0,10,"setting fires in nature and in landfills, burning grasses"
3939,3.0,1,unknown
3940,3.0,18,"setting fires in nature and in landfills, burning grasses"
3941,3.0,17,"setting fires in nature and in landfills, burning grasses"
3942,3.0,18,unknown
3943,5.0,17,unknown
3944,5.0,16,match or lighter
3945,5.0,13,unknown
3946,4.0,18,unknown
3947,6.0,19,unknown
3948,3.0,18,unknown
3949,3.0,10,unknown
3950,3.0,19,"setting fires in nature and in landfills, burning grasses"
3951,5.0,17,unknown
3952,3.0,17,"setting fires in nature and in landfills, burning grasses"
3953,5.0,18,"setting fires in nature and in landfills, burning grasses"
3954,2.0,11,cigarette butt
3955,4.0,17,"setting fires in nature and in landfills, burning grasses"
3956,3.0,16,"setting fires in nature and in landfills, burning grasses"
3957,5.0,15,"setting fires in nature and in landfills, burning grasses"
3958,4.0,14,others
3959,6.0,17,cigarette butt
3960,4.0,17,cigarette butt
3961,3.0,23,cigarette butt
3962,4.0,16,cigarette butt
3963,6.0,13,cigarette butt
3964,3.0,7,"setting fires in nature and in landfills, burning grasses"
3965,6.0,14,cigarette butt
3966,5.0,15,"setting fires in nature and in landfills, burning grasses"
3967,2.0,11,"setting fires in nature and in landfills, burning grasses"
3968,5.0,17,"setting fires in nature and in landfills, burning grasses"
3969,4.0,15,"setting fires in nature and in landfills, burning grasses"
3970,3.0,8,cigarette butt
3971,2.0,11,cigarette butt
3972,6.0,16,cigarette butt
3973,2.0,9,"setting fires in nature and in landfills, burning grasses"
3974,4.0,18,"setting fires in nature and in landfills, burning grasses"
3975,6.0,15,"setting fires in nature and in landfills, burning grasses"
3976,4.0,13,cigarette butt
3977,3.0,9,"setting fires in nature and in landfills, burning grasses"
3978,4.0,11,unknown
3979,3.0,15,"setting fires in nature and in landfills, burning grasses"
3980,3.0,20,"setting fires in nature and in landfills, burning grasses"
3981,3.0,9,"setting fires in nature and in landfills, burning grasses"
3982,2.0,16,unknown
3983,3.0,11,"setting fires in nature and in landfills, burning grasses"
3984,6.0,13,unknown
3985,6.0,15,others
3986,4.0,11,unknown
3987,3.0,13,arson
3988,3.0,10,"setting fires in nature and in landfills, burning grasses"
3989,6.0,18,unknown
3990,4.0,16,"setting fires in nature and in landfills, burning grasses"
3991,6.0,14,unknown
3992,4.0,1,match or lighter
3993,3.0,17,match or lighter
3994,3.0,15,unknown
3995,4.0,18,unknown
3996,4.0,18,unknown
3997,2.0,11,"setting fires in nature and in landfills, burning grasses"
3998,3.0,16,"setting fires in nature and in landfills, burning grasses"
3999,3.0,15,"setting fires in nature and in landfills, burning grasses"
4000,4.0,15,"setting fires in nature and in landfills, burning grasses"
4001,3.0,19,"setting fires in nature and in landfills, burning grasses"
4002,6.0,16,"setting fires in nature and in landfills, burning grasses"
4003,5.0,14,"setting fires in nature and in landfills, burning grasses"
4004,6.0,16,"setting fires in nature and in landfills, burning grasses"
4005,2.0,13,"setting fires in nature and in landfills, burning grasses"
4006,4.0,13,unknown
4007,2.0,10,"setting fires in nature and in landfills, burning grasses"
4008,4.0,14,"setting fires in nature and in landfills, burning grasses"
4009,3.0,15,"setting fires in nature and in landfills, burning grasses"
4010,5.0,15,unknown
4011,3.0,22,unknown
4012,5.0,16,unknown
4013,2.0,15,unknown
4014,5.0,17,unknown
4015,5.0,15,unknown
4016,4.0,14,match or lighter
4017,5.0,18,match or lighter
4018,4.0,16,match or lighter
4019,3.0,10,match or lighter
4020,4.0,15,unknown
4021,4.0,13,"setting fires in nature and in landfills, burning grasses"
4022,3.0,20,lightning
4023,6.0,17,unknown
4024,5.0,15,unknown
4025,6.0,16,"setting fires in nature and in landfills, burning grasses"
4026,3.0,14,unknown
4027,5.0,18,unknown
4028,5.0,12,unknown
4029,3.0,11,unknown
4030,4.0,16,unknown
4031,5.0,12,unknown
4032,3.0,9,unknown
4033,2.0,18,unknown
4034,3.0,13,unknown
4035,6.0,16,unknown
4036,4.0,19,unknown
4037,6.0,16,unknown
4038,6.0,13,unknown
4039,3.0,14,unknown
4040,3.0,14,unknown
4041,5.0,15,others
4042,3.0,17,unknown
4043,3.0,9,unknown
4044,3.0,9,unknown
4045,4.0,17,others
4046,4.0,16,others
4047,5.0,15,others
4048,4.0,14,unknown
4049,5.0,12,unknown
4050,4.0,17,unknown
4051,3.0,21,unknown
4052,6.0,13,unknown
4053,4.0,17,unknown
4054,4.0,14,unknown
4055,5.0,16,unknown
4056,3.0,10,unknown
4057,5.0,6,unknown
4058,5.0,17,unknown
4059,5.0,16,unknown
4060,4.0,18,unknown
4061,5.0,15,unknown
4062,3.0,7,unknown
4063,4.0,12,unknown
4064,2.0,7,unknown
4065,3.0,9,unknown
4066,5.0,14,unknown
4067,4.0,13,others
4068,2.0,18,unknown
4069,3.0,14,others
4070,4.0,14,match or lighter
4071,3.0,19,others
4072,6.0,13,unknown
4073,3.0,7,unknown
4074,5.0,16,"setting fires in nature and in landfills, burning grasses"
4075,3.0,9,others
4076,3.0,20,unknown
4077,4.0,12,unknown
4078,5.0,14,unknown
4079,4.0,18,unknown
4080,4.0,13,unknown
4081,5.0,15,unknown
4082,5.0,19,"setting fires in nature and in landfills, burning grasses"
4083,3.0,11,unknown
4084,3.0,16,others
4085,4.0,18,others
4086,5.0,14,unknown
4087,3.0,6,unknown
4088,3.0,19,unknown
4089,3.0,22,unknown
4090,4.0,9,others
4091,5.0,9,others
4092,4.0,18,unknown
4093,3.0,16,unknown
4094,4.0,8,unknown
4095,4.0,9,unknown
4096,5.0,15,unknown
4097,3.0,0,unknown
4098,4.0,10,unknown
4099,4.0,11,"setting fires in nature and in landfills, burning grasses"
4100,5.0,17,unknown
4101,4.0,22,others
4102,3.0,11,others
4103,3.0,7,match or lighter
4104,3.0,9,others
4105,5.0,12,unknown
4106,6.0,14,arson
4107,6.0,13,arson
4108,5.0,13,unknown
4109,5.0,14,cigarette butt
4110,2.0,14,match or lighter
4111,6.0,16,cigarette butt
4112,2.0,10,unknown
4113,3.0,15,"setting fires in nature and in landfills, burning grasses"
4114,4.0,0,cigarette butt
4115,6.0,13,cigarette butt
4116,6.0,17,cigarette butt
4117,5.0,16,cigarette butt
4118,3.0,11,match or lighter
4119,6.0,14,cigarette butt
4120,5.0,13,match or lighter
4121,6.0,16,match or lighter
4122,2.0,18,unknown
4123,5.0,13,cigarette butt
4124,5.0,19,cigarette butt
4125,2.0,12,cigarette butt
4126,3.0,18,others
4127,5.0,22,cigarette butt
4128,4.0,14,cigarette butt
4129,3.0,18,cigarette butt
4130,5.0,16,cigarette butt
4131,5.0,17,match or lighter
4132,5.0,17,cigarette butt
4133,5.0,17,match or lighter
4134,3.0,16,cigarette butt
4135,5.0,15,cigarette butt
4136,5.0,12,cigarette butt
4137,3.0,9,match or lighter
4138,5.0,16,match or lighter
4139,4.0,10,others
4140,6.0,15,others
4141,6.0,14,match or lighter
4142,3.0,10,others
4143,5.0,16,unknown
4144,5.0,16,unknown
4145,6.0,15,cigarette butt
4146,5.0,16,cigarette butt
4147,4.0,18,arson
4148,4.0,1,"setting fires in nature and in landfills, burning grasses"
4149,3.0,15,unknown
4150,6.0,16,unknown
4151,4.0,14,unknown
4152,6.0,14,cigarette butt
4153,3.0,19,arson
4154,4.0,17,unknown
4155,2.0,14,"setting fires in nature and in landfills, burning grasses"
4156,4.0,7,arson
4157,3.0,15,others
4158,4.0,10,unknown
4159,5.0,17,unknown
4160,3.0,7,unknown
4161,3.0,11,unknown
4162,6.0,17,unknown
4163,6.0,15,unknown
4164,5.0,4,arson
4165,5.0,9,others
4166,6.0,17,match or lighter
4167,4.0,19,match or lighter
4168,2.0,11,unknown
4169,3.0,19,match or lighter
4170,5.0,17,unknown
4171,3.0,14,others
4172,3.0,15,others
4173,6.0,15,others
4174,6.0,16,cigarette butt
4175,2.0,6,unknown
4176,3.0,14,"setting fires in nature and in landfills, burning grasses"
4177,6.0,13,unknown
4178,3.0,8,unknown
4179,5.0,11,unknown
4180,6.0,21,unknown
4181,3.0,10,unknown
4182,6.0,14,unknown
4183,6.0,0,unknown
4184,2.0,18,match or lighter
4185,4.0,22,others
4186,4.0,11,"setting fires in nature and in landfills, burning grasses"
4187,4.0,13,unknown
4188,4.0,14,"setting fires in nature and in landfills, burning grasses"
4189,4.0,12,"setting fires in nature and in landfills, burning grasses"
4190,3.0,16,"setting fires in nature and in landfills, burning grasses"
4191,3.0,10,"setting fires in nature and in landfills, burning grasses"
4192,2.0,13,unknown
4193,3.0,16,"setting fires in nature and in landfills, burning grasses"
4194,3.0,12,unknown
4195,5.0,18,unknown
4196,3.0,11,unknown
4197,6.0,14,unknown
4198,5.0,15,unknown
4199,6.0,23,unknown
4200,5.0,18,unknown
4201,4.0,22,unknown
4202,5.0,13,"setting fires in nature and in landfills, burning grasses"
4203,5.0,13,unknown
4204,3.0,7,"setting fires in nature and in landfills, burning grasses"
4205,6.0,12,unknown
4206,4.0,13,others
4207,6.0,16,unknown
4208,5.0,17,"setting fires in nature and in landfills, burning grasses"
4209,3.0,20,"setting fires in nature and in landfills, burning grasses"
4210,3.0,16,unknown
4211,6.0,20,lightning
4212,2.0,15,"setting fires in nature and in landfills, burning grasses"
4213,4.0,8,arson
4214,4.0,11,"setting fires in nature and in landfills, burning grasses"
4215,4.0,20,"setting fires in nature and in landfills, burning grasses"
4216,5.0,16,unknown
4217,6.0,16,unknown
4218,3.0,11,others
4219,5.0,16,unknown
4220,5.0,18,unknown
4221,5.0,12,"setting fires in nature and in landfills, burning grasses"
4222,3.0,7,unknown
4223,2.0,16,unknown
4224,5.0,14,"setting fires in nature and in landfills, burning grasses"
4225,3.0,13,"setting fires in nature and in landfills, burning grasses"
4226,5.0,12,cigarette butt
4227,4.0,11,"setting fires in nature and in landfills, burning grasses"
4228,6.0,13,unknown
4229,6.0,12,"setting fires in nature and in landfills, burning grasses"
4230,3.0,9,unknown
4231,4.0,13,unknown
4232,5.0,16,unknown
4233,6.0,15,others
4234,6.0,12,match or lighter
4235,2.0,11,unknown
4236,5.0,15,unknown
4237,5.0,15,unknown
4238,5.0,15,unknown
4239,6.0,14,unknown
4240,6.0,14,unknown
4241,6.0,12,unknown
4242,2.0,19,unknown
4243,3.0,9,unknown
4244,6.0,13,unknown
4245,5.0,15,unknown
4246,5.0,13,unknown
4247,4.0,11,unknown
4248,3.0,18,unknown
4249,6.0,12,"setting fires in nature and in landfills, burning grasses"
4250,5.0,15,"setting fires in nature and in landfills, burning grasses"
4251,2.0,17,unknown
4252,5.0,13,unknown
4253,5.0,13,unknown
4254,3.0,6,unknown
4255,5.0,21,arson
4256,5.0,12,unknown
4257,2.0,1,arson
4258,3.0,10,others
4259,4.0,12,unknown
4260,3.0,14,unknown
4261,5.0,13,"setting fires in nature and in landfills, burning grasses"
4262,5.0,12,"setting fires in nature and in landfills, burning grasses"
4263,3.0,20,unknown
4264,5.0,13,unknown
4265,6.0,14,"setting fires in nature and in landfills, burning grasses"
4266,5.0,19,unknown
4267,5.0,17,unknown
4268,6.0,13,unknown
4269,5.0,13,unknown
4270,6.0,16,unknown
4271,6.0,14,others
4272,6.0,17,cigarette butt
4273,5.0,15,unknown
4274,2.0,17,unknown
4275,2.0,19,"setting fires in nature and in landfills, burning grasses"
4276,4.0,19,"setting fires in nature and in landfills, burning grasses"
4277,5.0,19,"setting fires in nature and in landfills, burning grasses"
4278,6.0,18,"setting fires in nature and in landfills, burning grasses"
4279,3.0,13,"setting fires in nature and in landfills, burning grasses"
4280,4.0,13,arson
4281,4.0,16,others
4282,4.0,20,match or lighter
4283,6.0,13,others
4284,5.0,17,unknown
4285,4.0,16,"setting fires in nature and in landfills, burning grasses"
4286,3.0,20,others
4287,4.0,15,"setting fires in nature and in landfills, burning grasses"
4288,5.0,17,"setting fires in nature and in landfills, burning grasses"
4289,5.0,13,"setting fires in nature and in landfills, burning grasses"
4290,3.0,20,"setting fires in nature and in landfills, burning grasses"
4291,5.0,14,cigarette butt
4292,5.0,12,cigarette butt
4293,6.0,23,others
4294,2.0,9,"setting fires in nature and in landfills, burning grasses"
4295,6.0,12,"setting fires in nature and in landfills, burning grasses"
4296,3.0,15,"setting fires in nature and in landfills, burning grasses"
4297,5.0,17,cigarette butt
4298,6.0,14,"setting fires in nature and in landfills, burning grasses"
4299,3.0,15,unknown
4300,3.0,9,cigarette butt
4301,5.0,20,cigarette butt
4302,6.0,17,cigarette butt
4303,4.0,18,cigarette butt
4304,5.0,12,"setting fires in nature and in landfills, burning grasses"
4305,3.0,13,"setting fires in nature and in landfills, burning grasses"
4306,2.0,10,"setting fires in nature and in landfills, burning grasses"
4307,6.0,13,"setting fires in nature and in landfills, burning grasses"
4308,4.0,18,"setting fires in nature and in landfills, burning grasses"
4309,3.0,9,unknown
4310,3.0,8,unknown
4311,3.0,12,unknown
4312,4.0,18,"setting fires in nature and in landfills, burning grasses"
4313,4.0,11,unknown
4314,5.0,16,unknown
4315,5.0,13,unknown
4316,3.0,18,unknown
4317,3.0,11,unknown
4318,3.0,6,lightning
4319,5.0,14,unknown
4320,3.0,11,unknown
4321,5.0,13,match or lighter
4322,3.0,18,match or lighter
4323,3.0,15,unknown
4324,3.0,10,unknown
4325,3.0,11,unknown
4326,2.0,13,others
4327,2.0,15,"setting fires in nature and in landfills, burning grasses"
4328,4.0,15,unknown
4329,3.0,11,unknown
4330,5.0,16,unknown
4331,6.0,16,unknown
4332,6.0,15,"setting fires in nature and in landfills, burning grasses"
4333,3.0,15,unknown
4334,3.0,18,"setting fires in nature and in landfills, burning grasses"
4335,3.0,11,unknown
4336,4.0,15,unknown
4337,2.0,22,"setting fires in nature and in landfills, burning grasses"
4338,3.0,23,unknown
4339,6.0,16,unknown
4340,3.0,14,unknown
4341,4.0,17,others
4342,5.0,17,unknown
4343,6.0,15,unknown
4344,5.0,13,unknown
4345,3.0,12,unknown
4346,3.0,22,others
4347,3.0,18,unknown
4348,4.0,17,unknown
4349,3.0,13,unknown
4350,2.0,15,unknown
4351,5.0,23,unknown
4352,6.0,12,unknown
4353,6.0,11,others
4354,6.0,10,"setting fires in nature and in landfills, burning grasses"
4355,4.0,17,unknown
4356,5.0,16,unknown
4357,3.0,10,unknown
4358,5.0,13,unknown
4359,5.0,15,cigarette butt
4360,4.0,14,cigarette butt
4361,3.0,13,cigarette butt
4362,3.0,14,"setting fires in nature and in landfills, burning grasses"
4363,4.0,10,"setting fires in nature and in landfills, burning grasses"
4364,5.0,19,unknown
4365,5.0,15,match or lighter
4366,5.0,17,unknown
4367,3.0,15,unknown
4368,3.0,14,"setting fires in nature and in landfills, burning grasses"
4369,5.0,16,unknown
4370,5.0,14,unknown
4371,2.0,12,unknown
4372,4.0,11,"setting fires in nature and in landfills, burning grasses"
4373,5.0,18,cigarette butt
4374,3.0,15,others
4375,4.0,22,match or lighter
4376,3.0,13,match or lighter
4377,3.0,12,match or lighter
4378,2.0,5,match or lighter
4379,3.0,11,match or lighter
4380,3.0,9,cigarette butt
4381,3.0,16,"setting fires in nature and in landfills, burning grasses"
4382,2.0,21,unknown
4383,2.0,12,arson
4384,5.0,13,"setting fires in nature and in landfills, burning grasses"
