,HINDEX_L1,Hour,CATEGORY
217,6.0,15,unknown
218,5.0,20,unknown
219,4.0,16,unknown
220,4.0,11,unknown
221,6.0,14,others
222,6.0,12,unknown
223,6.0,13,unknown
224,3.0,10,unknown
225,3.0,8,unknown
226,3.0,10,unknown
227,2.0,10,unknown
228,5.0,15,unknown
229,4.0,10,unknown
230,3.0,9,unknown
231,3.0,19,others
232,4.0,18,unknown
233,4.0,18,unknown
234,5.0,12,cigarette butt
235,2.0,18,unknown
236,4.0,23,"setting fires in nature and in landfills, burning grasses"
237,4.0,14,others
238,5.0,19,"setting fires in nature and in landfills, burning grasses"
239,6.0,16,unknown
240,4.0,12,match or lighter
241,4.0,13,unknown
242,4.0,13,others
243,6.0,15,others
244,3.0,14,unknown
245,2.0,21,unknown
246,4.0,0,unknown
247,3.0,9,unknown
248,6.0,15,unknown
249,2.0,10,unknown
250,3.0,16,unknown
251,3.0,17,unknown
252,3.0,15,unknown
253,6.0,19,unknown
254,5.0,13,"setting fires in nature and in landfills, burning grasses"
255,6.0,17,"setting fires in nature and in landfills, burning grasses"
256,6.0,18,unknown
257,3.0,17,unknown
258,6.0,14,unknown
259,3.0,3,others
260,5.0,21,unknown
261,3.0,14,unknown
262,4.0,19,unknown
263,5.0,11,unknown
264,6.0,19,unknown
265,4.0,19,"setting fires in nature and in landfills, burning grasses"
266,2.0,8,match or lighter
267,5.0,14,unknown
268,5.0,17,unknown
269,2.0,11,"setting fires in nature and in landfills, burning grasses"
270,6.0,14,"setting fires in nature and in landfills, burning grasses"
271,5.0,11,"setting fires in nature and in landfills, burning grasses"
272,5.0,18,others
273,3.0,18,unknown
274,3.0,16,"setting fires in nature and in landfills, burning grasses"
275,3.0,19,unknown
276,3.0,13,others
277,3.0,17,match or lighter
278,6.0,16,match or lighter
279,5.0,14,match or lighter
280,5.0,16,others
281,3.0,14,others
282,4.0,11,lightning
283,3.0,13,unknown
284,3.0,10,unknown
285,6.0,15,"setting fires in nature and in landfills, burning grasses"
286,6.0,21,unknown
287,2.0,11,unknown
288,2.0,11,"setting fires in nature and in landfills, burning grasses"
289,3.0,8,unknown
290,6.0,14,unknown
291,3.0,2,unknown
292,2.0,9,unknown
293,6.0,15,unknown
294,4.0,18,lightning
295,3.0,19,"setting fires in nature and in landfills, burning grasses"
296,3.0,19,"setting fires in nature and in landfills, burning grasses"
297,6.0,13,"setting fires in nature and in landfills, burning grasses"
298,4.0,15,"setting fires in nature and in landfills, burning grasses"
299,3.0,12,"setting fires in nature and in landfills, burning grasses"
300,5.0,13,"setting fires in nature and in landfills, burning grasses"
301,3.0,10,"setting fires in nature and in landfills, burning grasses"
302,3.0,20,unknown
303,3.0,19,"setting fires in nature and in landfills, burning grasses"
304,2.0,9,unknown
305,4.0,17,others
306,2.0,7,arson
307,3.0,14,cigarette butt
308,4.0,13,cigarette butt
309,3.0,11,unknown
310,3.0,6,others
311,6.0,16,"setting fires in nature and in landfills, burning grasses"
312,5.0,17,others
313,4.0,14,unknown
314,3.0,0,unknown
315,4.0,15,unknown
316,2.0,19,unknown
317,5.0,16,unknown
318,4.0,22,arson
319,6.0,17,unknown
320,3.0,6,"setting fires in nature and in landfills, burning grasses"
321,3.0,5,unknown
322,3.0,9,unknown
323,4.0,15,unknown
324,2.0,12,unknown
325,3.0,19,unknown
326,5.0,13,unknown
327,6.0,19,unknown
328,4.0,14,unknown
329,4.0,17,unknown
330,3.0,21,unknown
331,3.0,11,unknown
332,3.0,23,unknown
333,5.0,16,unknown
334,3.0,19,unknown
335,4.0,13,others
336,4.0,7,unknown
337,4.0,13,"setting fires in nature and in landfills, burning grasses"
338,3.0,0,unknown
339,4.0,16,unknown
340,6.0,14,"setting fires in nature and in landfills, burning grasses"
341,6.0,17,unknown
342,4.0,18,unknown
343,4.0,19,unknown
344,3.0,6,unknown
345,5.0,13,others
346,5.0,17,unknown
347,2.0,7,unknown
348,5.0,12,unknown
349,3.0,0,unknown
350,5.0,14,unknown
351,3.0,9,unknown
352,5.0,16,unknown
353,5.0,15,unknown
354,3.0,18,unknown
355,2.0,14,unknown
356,5.0,16,arson
357,5.0,18,unknown
358,2.0,8,unknown
359,4.0,21,unknown
360,3.0,15,unknown
361,2.0,11,unknown
362,5.0,11,unknown
363,3.0,12,unknown
364,4.0,19,unknown
365,3.0,8,unknown
366,4.0,17,unknown
367,3.0,13,unknown
368,3.0,11,unknown
369,2.0,9,unknown
370,5.0,14,unknown
371,3.0,8,unknown
372,5.0,15,unknown
373,6.0,14,others
374,6.0,12,unknown
375,4.0,19,unknown
376,4.0,13,unknown
377,4.0,17,unknown
378,4.0,17,unknown
379,4.0,17,unknown
380,4.0,15,unknown
381,4.0,16,unknown
382,5.0,15,unknown
383,4.0,18,unknown
384,4.0,17,unknown
385,5.0,16,unknown
386,4.0,10,unknown
387,3.0,10,unknown
388,4.0,17,unknown
389,4.0,17,unknown
390,4.0,16,unknown
391,5.0,18,unknown
392,5.0,18,unknown
393,6.0,18,unknown
394,6.0,12,unknown
395,6.0,12,unknown
396,2.0,10,unknown
397,3.0,17,unknown
398,4.0,17,unknown
399,5.0,18,"setting fires in nature and in landfills, burning grasses"
400,3.0,3,lightning
401,3.0,20,unknown
402,5.0,13,unknown
403,4.0,17,unknown
404,6.0,13,cigarette butt
405,6.0,17,unknown
406,5.0,16,"setting fires in nature and in landfills, burning grasses"
407,5.0,17,unknown
408,5.0,11,"setting fires in nature and in landfills, burning grasses"
409,6.0,15,unknown
410,5.0,19,"setting fires in nature and in landfills, burning grasses"
411,4.0,11,"setting fires in nature and in landfills, burning grasses"
412,4.0,15,others
413,6.0,13,"setting fires in nature and in landfills, burning grasses"
414,4.0,15,"setting fires in nature and in landfills, burning grasses"
415,6.0,15,unknown
416,6.0,16,unknown
417,5.0,20,unknown
418,3.0,6,"setting fires in nature and in landfills, burning grasses"
419,5.0,14,unknown
420,2.0,14,"setting fires in nature and in landfills, burning grasses"
421,5.0,17,unknown
422,4.0,12,unknown
423,6.0,16,"setting fires in nature and in landfills, burning grasses"
424,5.0,4,cigarette butt
425,4.0,15,others
426,3.0,17,unknown
427,4.0,13,others
428,6.0,14,unknown
429,3.0,8,unknown
430,6.0,12,others
431,3.0,11,unknown
432,4.0,19,"setting fires in nature and in landfills, burning grasses"
433,4.0,19,unknown
434,6.0,17,unknown
435,3.0,10,unknown
436,6.0,12,unknown
437,3.0,7,unknown
438,4.0,19,unknown
439,3.0,18,unknown
440,3.0,18,unknown
441,6.0,13,unknown
442,5.0,18,unknown
443,4.0,11,unknown
444,4.0,2,match or lighter
445,3.0,23,unknown
446,5.0,19,unknown
447,6.0,15,unknown
448,2.0,10,"setting fires in nature and in landfills, burning grasses"
449,3.0,22,unknown
450,6.0,14,unknown
451,2.0,18,others
452,3.0,15,unknown
453,3.0,6,unknown
454,5.0,12,unknown
455,2.0,14,"setting fires in nature and in landfills, burning grasses"
456,5.0,15,unknown
457,3.0,11,"setting fires in nature and in landfills, burning grasses"
458,6.0,14,unknown
459,4.0,14,unknown
460,5.0,14,unknown
461,6.0,19,others
462,3.0,11,unknown
463,6.0,21,unknown
464,6.0,14,others
465,6.0,17,unknown
466,6.0,16,unknown
467,6.0,14,"setting fires in nature and in landfills, burning grasses"
468,3.0,19,match or lighter
469,4.0,11,unknown
470,3.0,20,unknown
471,6.0,15,unknown
472,6.0,19,unknown
473,6.0,19,unknown
474,5.0,16,unknown
475,6.0,21,arson
476,5.0,15,unknown
477,2.0,17,"setting fires in nature and in landfills, burning grasses"
478,2.0,15,unknown
479,5.0,18,cigarette butt
480,3.0,18,"setting fires in nature and in landfills, burning grasses"
481,3.0,17,"setting fires in nature and in landfills, burning grasses"
482,5.0,20,unknown
483,3.0,10,match or lighter
484,5.0,19,unknown
485,6.0,16,"setting fires in nature and in landfills, burning grasses"
486,6.0,17,unknown
487,4.0,8,unknown
488,4.0,7,unknown
489,4.0,11,cigarette butt
490,6.0,17,arson
491,4.0,14,match or lighter
492,5.0,22,"setting fires in nature and in landfills, burning grasses"
493,2.0,13,unknown
494,4.0,12,unknown
495,4.0,15,"setting fires in nature and in landfills, burning grasses"
496,4.0,8,lightning
497,3.0,18,others
498,6.0,15,others
499,4.0,19,"setting fires in nature and in landfills, burning grasses"
500,5.0,17,unknown
501,4.0,12,others
502,4.0,15,unknown
503,3.0,14,"setting fires in nature and in landfills, burning grasses"
504,4.0,15,unknown
505,3.0,15,cigarette butt
506,5.0,17,unknown
507,4.0,14,unknown
508,3.0,15,"setting fires in nature and in landfills, burning grasses"
509,3.0,18,"setting fires in nature and in landfills, burning grasses"
510,6.0,16,unknown
511,6.0,15,unknown
512,3.0,9,unknown
513,4.0,16,arson
514,3.0,11,others
515,2.0,6,match or lighter
516,4.0,17,"setting fires in nature and in landfills, burning grasses"
517,4.0,15,unknown
518,5.0,12,unknown
519,2.0,18,arson
520,2.0,5,others
521,4.0,16,unknown
522,4.0,19,unknown
523,5.0,14,unknown
524,5.0,17,"setting fires in nature and in landfills, burning grasses"
525,3.0,22,unknown
526,6.0,14,"setting fires in nature and in landfills, burning grasses"
527,5.0,0,unknown
528,6.0,16,unknown
529,5.0,17,unknown
530,2.0,15,unknown
531,5.0,12,unknown
532,3.0,9,unknown
533,5.0,12,unknown
534,5.0,18,unknown
535,5.0,16,unknown
536,5.0,17,unknown
537,4.0,14,unknown
538,5.0,17,"setting fires in nature and in landfills, burning grasses"
539,3.0,20,unknown
540,5.0,9,unknown
541,5.0,16,unknown
542,4.0,14,unknown
543,3.0,14,unknown
544,3.0,19,unknown
545,3.0,0,unknown
546,2.0,11,unknown
547,3.0,0,unknown
548,2.0,5,unknown
549,3.0,16,unknown
550,3.0,19,unknown
551,6.0,16,unknown
552,5.0,15,unknown
553,4.0,15,unknown
554,6.0,14,unknown
555,5.0,17,unknown
556,3.0,16,unknown
557,2.0,21,unknown
558,4.0,14,unknown
559,3.0,8,unknown
560,5.0,17,unknown
561,3.0,5,unknown
562,5.0,14,unknown
563,3.0,9,unknown
564,3.0,9,unknown
565,4.0,13,unknown
566,5.0,12,unknown
567,4.0,17,unknown
